小韻號	切韻音系描述	攝	方音字彙描述	廣韻韻目	平水韻目	反切	切韻拼音	白一平拼音	古韻羅馬字	有女羅馬字	高本漢	王力1957	王力1985	潘悟雲2000	潘悟雲2013	潘悟雲2023	unt2020	unt2022	unt通俗擬音	msoeg
1	端一東平	通攝	通合一平東端	上平聲1東	上平1東	德紅	toung	tuwng	trung	tung	tuŋ	tuŋ	toŋ	tuŋ	tuŋ	tuŋ	tuɴ	tuɴ	tuŋ	to̯uɴ
2	定一東平	通攝	通合一平東定	上平聲1東	上平1東	徒紅	doung	duwng	trung	dung	dʱuŋ	dʱuŋ	doŋ	duŋ	duŋ	duŋ	duɴ	duɴ	duŋ	do̯uɴ
3	知三東平	通攝	通合三平東知	上平聲1東	上平1東	陟弓	trung	trjuwng	triung	tiung	ȶi̯uŋ	ȶĭuŋ	ti̯oŋ	ʈiuŋ	ʈiuŋ	ʈiuŋ	ʈuɴ	ʈuɴ	ʈɨuŋ	ʈuɴ
4	澄三東平	通攝	通合三平東澄	上平聲1東	上平1東	直弓	drung	drjuwng	triung	diung	ȡʱi̯uŋ	ȡʱĭuŋ	di̯oŋ	ɖiuŋ	ɖiuŋ	ɖiuŋ	ɖuɴ	ɖuɴ	ɖɨuŋ	ɖuɴ
5	章三東平	通攝	通合三平東章	上平聲1東	上平1東	職戎	tjung	tsyuwng	triung	tjung	tɕi̯uŋ	tɕĭuŋ	tɕi̯oŋ	tɕiuŋ	tɕiuŋ	tɕiuŋ	tɕuɴ	tɕuɴ	tɕɨuŋ	tɕuɴ
6	徹三東平	通攝	通合三平東徹	上平聲1東	上平1東	敕中	trhung	trhjuwng	triung	thiung	ȶʰi̯uŋ	ȶʰĭuŋ	tʰi̯oŋ	ʈʰiuŋ	ʈʰiuŋ	ʈʰiuŋ	ʈʰuɴ	ʈʰuɴ	ʈʰɨuŋ	ʈʰuɴ
7	崇三東平	通攝	通合三平東崇	上平聲1東	上平1東	鋤弓	dzrung	dzrjuwng	triung	drung	dʐʱi̯uŋ	dʒʱĭuŋ	dʒi̯oŋ	dʐiuŋ	dʐiuŋ	dʐiuŋ	dʐuɴ	dʐuɴ	dʐɨuŋ	dʐuɴ
8	心三東平	通攝	通合三平東心	上平聲1東	上平1東	息弓	sung	sjuwng	triung	siung	si̯uŋ	sĭuŋ	si̯oŋ	siuŋ	siuŋ	siuŋ	sjuɴ	sjuɴ	sɨuŋ	suɴ
9	日三東平	通攝	通合三平東日	上平聲1東	上平1東	如融	njung	nyuwng	triung	rung	ȵʑi̯uŋ	nʑĭuŋ	ȵi̯oŋ	ȵiuŋ	ȵiuŋ	ȵiuŋ	ɲuɴ	ɲuɴ	ɲɨuŋ	ɲuɴ
10	見三C東平	通攝	通合三平東見	上平聲1東	上平1東	居戎	kung	kjuwng	triung	kiung	ki̯uŋ	kĭuŋ	ki̯oŋ	kiuŋ	kiuŋ	kiuŋ	kɣuɴ	kuɴ	kɨuŋ	kuɴ
11	以三東平	通攝	通合三平東以	上平聲1東	上平1東	以戎	jung	yuwng	triung	jung	i̯uŋ	jĭuŋ	ji̯oŋ	jiuŋ	jiuŋ	jiuŋ	juɴ	juɴ	jɨuŋ	ɥuɴ
12	云三C東平	通攝	通合三平東云	上平聲1東	上平1東	羽弓	ung	hjuwng	triung	hiung	ji̯uŋ	ɣĭuŋ	ɣi̯oŋ	ɦiuŋ	ɦiuŋ	ɦᶤiuŋ	wuɴ	wuɴ	ɨuŋ	wuɴ
13	明三C東平	通攝	通合三平東微	上平聲1東	上平1東	莫中	mung	mjuwng	triung	miung	mi̯uŋ	mĭuŋ	mi̯oŋ	miuŋ	miuŋ	miuŋ	mʋuɴ	muɴ	mɨuŋ	muɴ
14	溪三C東平	通攝	通合三平東溪	上平聲1東	上平1東	去宮	khung	khjuwng	triung	qiung	kʰi̯uŋ	kʰĭuŋ	kʰi̯oŋ	kʰiuŋ	kʰiuŋ	kʰiuŋ	kʰɣuɴ	kʰuɴ	kʰɨuŋ	kʰuɴ
15	羣三C東平	通攝	通合三平東羣	上平聲1東	上平1東	渠弓	gung	gjuwng	triung	giung	ɡʱi̯uŋ	ɡʱĭuŋ	ɡi̯oŋ	ɡiuŋ	ɡiuŋ	ɡiuŋ	ɡɣuɴ	ɡuɴ	ɡɨuŋ	ɡuɴ
16	並三C東平	通攝	通合三平東奉	上平聲1東	上平1東	房戎	bung	bjuwng	triung	biung	bʱi̯uŋ	bʱĭuŋ	bi̯oŋ	biuŋ	biuŋ	biuŋ	bʋuɴ	buɴ	bɨuŋ	buɴ
17	幫三C東平	通攝	通合三平東非	上平聲1東	上平1東	方戎	pung	pjuwng	triung	piung	pi̯uŋ	pĭuŋ	pi̯oŋ	piuŋ	piuŋ	piuŋ	pʋuɴ	puɴ	pɨuŋ	puɴ
18	滂三C東平	通攝	通合三平東敷	上平聲1東	上平1東	敷空	phung	phjuwng	triung	phiung	pʰi̯uŋ	pʰĭuŋ	pʰi̯oŋ	pʰiuŋ	pʰiuŋ	pʰiuŋ	pʰʋuɴ	pʰuɴ	pʰɨuŋ	pʰuɴ
19	昌三東平	通攝	通合三平東昌	上平聲1東	上平1東	昌終	tjhung	tsyhuwng	triung	tcung	tɕʰi̯uŋ	tɕʰĭuŋ	tɕʰi̯oŋ	tɕʰiuŋ	tɕʰiuŋ	tɕʰiuŋ	tɕʰuɴ	tɕʰuɴ	tɕʰɨuŋ	tɕʰuɴ
20	來三東平	通攝	通合三平東來	上平聲1東	上平1東	力中	lung	ljuwng	triung	liung	li̯uŋ	lĭuŋ	li̯oŋ	liuŋ	liuŋ	liuŋ	luɴ	luɴ	lɨuŋ	ɭuɴ
21	溪一東平	通攝	通合一平東溪	上平聲1東	上平1東	苦紅	khoung	khuwng	trung	qung	kʰuŋ	kʰuŋ	kʰoŋ	kʰuŋ	kʰuŋ	kʰuŋ	qʰuɴ	qʰuɴ	kʰuŋ	qʰo̯uɴ
22	見一東平	通攝	通合一平東見	上平聲1東	上平1東	古紅	koung	kuwng	trung	kung	kuŋ	kuŋ	koŋ	kuŋ	kuŋ	kuŋ	quɴ	quɴ	kuŋ	qo̯uɴ
23	明一東平	通攝	通合一平東明	上平聲1東	上平1東	莫紅	moung	muwng	trung	mung	muŋ	muŋ	moŋ	muŋ	muŋ	muŋ	muɴ	ᵯuɴ	muŋ	mo̯uɴ
24	來一東平	通攝	通合一平東來	上平聲1東	上平1東	盧紅	loung	luwng	trung	lung	luŋ	luŋ	loŋ	luŋ	luŋ	luŋ	ɫuɴ	ɫuɴ	luŋ	lo̯uɴ
25	匣一東平	通攝	通合一平東匣	上平聲1東	上平1東	戶公	ghoung	huwng	trung	hung	ɣuŋ	ɣuŋ	ɣoŋ	ɦuŋ	ɦuŋ	ɦuŋ	ʁuɴ	ʁuɴ	ɣuŋ	ʁo̯uɴ
26	從一東平	通攝	通合一平東從	上平聲1東	上平1東	徂紅	dzoung	dzuwng	trung	dzung	dzʱuŋ	dzʱuŋ	dzoŋ	dzuŋ	dzuŋ	dzuŋ	dzuɴ	dzuɴ	dzuŋ	dzo̯uɴ
27	影一東平	通攝	通合一平東影	上平聲1東	上平1東	烏紅	qoung	'uwng	trung	ung	ʔuŋ	uŋ	ʔoŋ	ʔuŋ	ʔuŋ	ʔuŋ	ʔuɴ	ʡuɴ	ʔuŋ	ʔo̯uɴ
28	清一東平	通攝	通合一平東清	上平聲1東	上平1東	倉紅	tshoung	tshuwng	trung	cung	tsʰuŋ	tsʰuŋ	tsʰoŋ	tsʰuŋ	tsʰuŋ	tsʰuŋ	tsʰuɴ	tsʰuɴ	tsʰuŋ	tsʰo̯uɴ
29	透一東平	通攝	通合一平東透	上平聲1東	上平1東	他紅	thoung	thuwng	trung	thung	tʰuŋ	tʰuŋ	tʰoŋ	tʰuŋ	tʰuŋ	tʰuŋ	tʰuɴ	tʰuɴ	tʰuŋ	tʰo̯uɴ
30	精一東平	通攝	通合一平東精	上平聲1東	上平1東	子紅	tsoung	tsuwng	trung	zung	tsuŋ	tsuŋ	tsoŋ	tsuŋ	tsuŋ	tsuŋ	tsuɴ	tsuɴ	tsuŋ	tso̯uɴ
31	並一東平	通攝	通合一平東並	上平聲1東	上平1東	薄紅	boung	buwng	trung	bung	bʱuŋ	bʱuŋ	boŋ	buŋ	buŋ	buŋ	buɴ	ᵬuɴ	buŋ	bo̯uɴ
32	曉一東平	通攝	通合一平東曉	上平聲1東	上平1東	呼東	houng	xuwng	trung	xung	xuŋ	xuŋ	xoŋ	huŋ	huŋ	huŋ	χuɴ	χuɴ	xuŋ	χo̯uɴ
33	疑一東平	通攝	通合一平東疑	上平聲1東	上平1東	五東	ngoung	nguwng	trung	ngung	ŋuŋ	ŋuŋ	ŋoŋ	ŋuŋ	ŋuŋ	ŋuŋ	ɴuɴ	ɴuɴ	ŋuŋ	ɴo̯uɴ
34	心一東平	通攝	通合一平東心	上平聲1東	上平1東	蘇公	soung	suwng	trung	sung	suŋ	suŋ	soŋ	suŋ	suŋ	suŋ	suɴ	suɴ	suŋ	so̯uɴ
35	端一冬平	通攝	通合一平冬端	上平聲2冬	上平2冬	都宗	tong	towng	truung	tvng	tuoŋ	tuoŋ	tuŋ	tuoŋ	tu̯oŋ	tu̯oŋ	toɴ	toɴ	toŋ	tɔɴ
36	定一冬平	通攝	通合一平冬定	上平聲2冬	上平2冬	徒冬	dong	downg	truung	dvng	dʱuoŋ	dʱuoŋ	duŋ	duoŋ	du̯oŋ	du̯oŋ	doɴ	doɴ	doŋ	dɔɴ
37	從一冬平	通攝	通合一平冬從	上平聲2冬	上平2冬	藏宗	dzong	dzowng	truung	dzvng	dzʱuoŋ	dzʱuoŋ	dzuŋ	dzuoŋ	dzu̯oŋ	dzu̯oŋ	dzoɴ	dzoɴ	dzoŋ	dzɔɴ
38	泥一冬平	通攝	通合一平冬泥	上平聲2冬	上平2冬	奴冬	nong	nowng	truung	nvng	nuoŋ	nuoŋ	nuŋ	nuoŋ	nu̯oŋ	nu̯oŋ	noɴ	noɴ	noŋ	nɔɴ
39	見一冬平	通攝	通合一平冬見	上平聲2冬	上平2冬	古冬	kong	kowng	truung	kvng	kuoŋ	kuoŋ	kuŋ	kuoŋ	ku̯oŋ	ku̯oŋ	qoɴ	qoɴ	koŋ	qɔɴ
