小韻號	高本漢	王力	李榮	邵榮芬	鄭張尚芳	潘悟雲	蒲立本
1	tuŋ	tuŋ	tuŋ	tuŋ	tuŋ	tuŋ	təwŋ
2	dʱuŋ	duŋ	duŋ	duŋ	duŋ	duŋ	dəwŋ
3	ȶi̯uŋ	ȶĭuŋ	ȶiuŋ	ȶiuŋ	ʈɨuŋ	ʈiuŋ	ʈuwŋ
4	ȡʱi̯uŋ	ȡĭuŋ	ȡiuŋ	ȡiuŋ	ɖɨuŋ	ɖiuŋ	ɖuwŋ
5	tɕi̯uŋ	tɕĭuŋ	tɕiuŋ	tɕiuŋ	tɕɨuŋ	tɕiuŋ	cuwŋ
6	ȶʰi̯uŋ	ȶʰĭuŋ	ȶʰiuŋ	ȶʰiuŋ	ʈʰɨuŋ	ʈʰiuŋ	ʈʰuwŋ
7	dʐʱi̯uŋ	dʒĭuŋ	dʒiuŋ	dʒiuŋ	dʒɨuŋ	dʐiuŋ	dʐuwŋ
8	si̯uŋ	sĭuŋ	siuŋ	siuŋ	sɨuŋ	siuŋ	suwŋ
9	ȵʑi̯uŋ	ȵʑĭuŋ	ȵiuŋ	ȵʑiuŋ	ȵɨuŋ	ȵiuŋ	ȵuwŋ
10	ki̯uŋ	kĭuŋ	kiuŋ	kiuŋ	kɨuŋ	kiuŋ	kuwŋ
11	i̯uŋ	jĭuŋ	iuŋ	iuŋ	jɨuŋ	jiuŋ	juwŋ
12	ji̯uŋ	ɣĭuŋ	ɣiuŋ	ɣiuŋ	ɦɨuŋ	ɦiuŋ	ɦuwŋ
13	mi̯uŋ	mĭuŋ	miuŋ	miuŋ	mɨuŋ	miuŋ	muwŋ
14	kʰi̯uŋ	kʰĭuŋ	kʰiuŋ	kʰiuŋ	kʰɨuŋ	kʰiuŋ	kʰuwŋ
15	ɡʱi̯uŋ	ɡĭuŋ	ɡiuŋ	ɡiuŋ	ɡɨuŋ	ɡiuŋ	guwŋ
16	bʱi̯uŋ	bĭuŋ	biuŋ	biuŋ	bɨuŋ	biuŋ	buwŋ
17	pi̯uŋ	pĭuŋ	piuŋ	piuŋ	pɨuŋ	piuŋ	puwŋ
18	pʰi̯uŋ	pʰĭuŋ	pʰiuŋ	pʰiuŋ	pʰɨuŋ	pʰiuŋ	pʰuwŋ
19	tɕʰi̯uŋ	tɕʰĭuŋ	tɕʰiuŋ	tɕʰiuŋ	tɕʰɨuŋ	tɕʰiuŋ	cʰuwŋ
20	li̯uŋ	lĭuŋ	liuŋ	liuŋ	lɨuŋ	liuŋ	luwŋ
